Year,FuelConsumption(L/KM),Kilometres,Doors,Seats,Price,Automatic,Manual,DEMO,NEW,USED,Engine_cyl_num,Engine_total_vol,log_Price,log_Year,log_FuelConsumption(L/KM),log_Kilometres,log_Doors,log_Seats,log_Automatic,log_Manual,log_DEMO,log_NEW,log_USED,log_Engine_cyl_num,log_Engine_total_vol
2022,8.7,5595.0,4,7,51990.0,1,0,1,0,0,4,2.2,10.858806671377762,7.611842399580417,2.163323025660538,8.629628620746026,1.3862943611198906,1.9459101490553132,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,1.3862943611198906,0.7884573603642703
2022,6.7,16.0,5,5,19990.0,1,0,0,0,1,4,1.5,9.902987427494446,7.611842399580417,1.9021075263969205,2.772588722239781,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.4054651081081644
2022,6.6,8472.0,2,4,108988.0,1,0,0,0,1,4,2.0,11.59899306340762,7.611842399580417,1.8870696490323797,9.044521887281242,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2011,11.0,136517.0,2,4,32990.0,1,0,0,0,1,8,5.5,10.403959764222627,7.606387389772652,2.3978952727983707,11.824204427976968,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,2.0794415416798357,1.7047480922384253
2022,6.0,1035.0,4,5,34990.0,1,0,0,0,1,4,1.3,10.462817585361734,7.611842399580417,1.791759469228055,6.942156705699469,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.26236426446749106
2017,5.1,67662.0,2,4,62280.0,1,0,0,0,1,4,2.0,11.039395625947934,7.6093665379542115,1.62924053973028,11.122280001460343,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2000,8.0,300539.0,5,5,2995.0,1,0,0,0,1,4,1.6,8.00469951054955,7.600902459542082,2.0794415416798357,12.613332808230068,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.47000362924573563
2013,7.1,82012.0,2,4,24888.0,1,0,0,0,1,4,2.0,10.122141038577473,7.607381425639791,1.9600947840472698,11.314620857002938,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2014,4.5,38229.0,5,5,17900.0,1,0,0,0,1,4,1.3,9.792555991828847,7.607878073278507,1.5040773967762742,10.55134966888039,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.26236426446749106
2018,9.8,16324.0,4,2,41999.0,1,0,0,0,1,4,2.7,10.645401087458245,7.609862200913554,2.2823823856765264,9.700391696525696,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.9932517730102834
2016,8.0,229829.0,4,2,27995.0,1,0,0,0,1,4,3.0,10.239781201782993,7.60887062919126,2.0794415416798357,12.345090833127436,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,1.0986122886681098
2012,6.2,55676.0,5,5,14999.0,1,0,0,0,1,4,1.4,9.61573881119536,7.60688453121963,1.824549292051046,10.927304453347292,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.3364722366212129
2014,5.6,82624.0,4,5,24985.0,1,0,0,0,1,4,2.0,10.126030923778305,7.607878073278507,1.7227665977411035,11.322055474206314,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2011,5.4,95204.0,5,5,13999.0,1,0,0,0,1,4,2.0,9.546741177474825,7.606387389772652,1.6863989535702288,11.463777236703498,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2014,5.4,76289.0,5,5,12400.0,1,0,0,0,1,3,1.0,9.425451751593128,7.607878073278507,1.6863989535702288,11.242284039120532,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.0
2012,7.5,219681.0,4,7,13999.0,1,0,0,0,1,4,2.4,9.546741177474825,7.60688453121963,2.0149030205422647,12.299931773067184,1.3862943611198906,1.9459101490553132,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.8754687373538999
2013,6.1,98079.0,5,5,11999.0,1,0,0,0,1,4,1.6,9.392578591964389,7.607381425639791,1.8082887711792655,11.493528555359497,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.47000362924573563
2023,8.4,15.0,4,5,83887.0,1,0,0,1,0,6,3.0,11.337225934085149,7.612336837167746,2.128231705849268,2.70805020110221,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,1.791759469228055,1.0986122886681098
2018,5.8,43274.0,5,5,19900.0,1,0,0,0,1,4,1.5,9.898475010712584,7.609862200913554,1.7578579175523736,10.675307271747375,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.4054651081081644
2012,8.4,105672.0,4,5,17990.0,1,0,0,0,1,4,2.5,9.79757132694458,7.60688453121963,2.128231705849268,11.5680952361037,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.9162907318741551
2018,4.7,36836.0,5,5,14995.0,1,0,0,0,1,3,1.2,9.61547209118311,7.609862200913554,1.547562508716013,10.514230906841258,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.1823215567939546
2005,9.8,115821.0,4,5,8499.0,1,0,0,0,1,4,2.4,9.047703788498627,7.60339933974067,2.2823823856765264,11.659801174829884,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.8754687373538999
2011,7.9,189711.0,4,5,12990.0,1,0,0,0,1,4,2.4,9.471935109664646,7.606387389772652,2.066862759472976,12.153257140536114,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.8754687373538999
2015,8.2,173786.0,4,7,16999.0,1,0,0,0,1,6,2.7,9.74090979777877,7.608374474380783,2.1041341542702074,12.065579936209879,1.3862943611198906,1.9459101490553132,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.791759469228055,0.9932517730102834
2018,6.9,114301.0,4,5,21950.0,1,0,0,0,1,4,2.0,9.996522418503318,7.609862200913554,1.9315214116032138,11.646590598651017,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2013,6.6,69197.0,5,5,24880.0,0,1,0,0,1,4,2.0,10.121819546853116,7.607381425639791,1.8870696490323797,11.144712788064854,1.6094379124341003,1.6094379124341003,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2015,7.9,94377.0,4,5,23888.0,1,0,0,0,1,4,2.0,10.081131519778971,7.608374474380783,2.066862759472976,11.455052678379758,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2016,6.2,94965.0,5,5,16999.0,1,0,0,0,1,4,1.5,9.74090979777877,7.60887062919126,1.824549292051046,11.461263681646336,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.4054651081081644
2019,8.1,99294.0,4,7,24490.0,1,0,0,0,1,4,2.5,10.106020149946213,7.610357618312838,2.0918640616783932,11.505840425246998,1.3862943611198906,1.9459101490553132,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.9162907318741551
2021,4.2,13694.0,5,5,44878.0,1,0,0,0,1,4,1.8,10.711702975923748,7.611347717403621,1.4350845252893227,9.524713059681009,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.5877866649021191
2007,6.7,264691.0,4,5,7949.0,1,0,0,0,1,4,1.5,8.980801413573113,7.604396348796338,1.9021075263969205,12.486318386881582,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.4054651081081644
2010,7.7,238270.0,5,5,8800.0,0,1,0,0,1,4,1.8,9.082507000466299,7.605890001053122,2.0412203288596382,12.381159763428695,1.6094379124341003,1.6094379124341003,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,1.3862943611198906,0.5877866649021191
2015,9.1,140964.0,4,5,13990.0,1,0,0,0,1,4,2.4,9.546098067659527,7.608374474380783,2.2082744135228043,11.856259817611885,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.8754687373538999
2003,0.0,266848.0,4,3,9999.0,1,0,0,0,1,4,2.4,9.21024036697585,7.602401335665818,-inf,12.494434486886712,1.3862943611198906,1.0986122886681098,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.8754687373538999
2013,7.4,141000.0,4,5,14999.0,1,0,0,0,1,4,1.6,9.61573881119536,7.607381425639791,2.0014800002101243,11.856515169360305,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.47000362924573563
2016,7.6,240402.0,4,5,22750.0,1,0,0,0,1,4,2.4,10.032320424379096,7.60887062919126,2.028148247292285,12.390067801076137,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.8754687373538999
2010,7.9,101126.0,2,4,21950.0,1,0,0,0,1,4,1.8,9.996522418503318,7.605890001053122,2.066862759472976,11.524122543063445,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.5877866649021191
2013,6.6,117254.0,5,5,19999.0,1,0,0,0,1,4,2.0,9.903437551286085,7.607381425639791,1.8870696490323797,11.67209780086521,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2012,7.8,178747.0,2,4,19900.0,0,1,0,0,1,4,2.0,9.898475010712584,7.60688453121963,2.0541237336955462,12.093726677198632,0.6931471805599453,1.3862943611198906,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2022,7.5,10579.0,4,5,37990.0,1,0,0,0,1,4,2.5,10.54507824618167,7.611842399580417,2.0149030205422647,9.266626182986775,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.9162907318741551
2010,7.7,167101.0,5,5,12990.0,1,0,0,0,1,4,1.8,9.471935109664646,7.605890001053122,2.0412203288596382,12.026353699006034,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.5877866649021191
2013,9.9,163161.0,4,5,16999.0,1,0,0,0,1,6,4.0,9.74090979777877,7.607381425639791,2.2925347571405443,12.002492722365888,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.791759469228055,1.3862943611198906
2021,6.0,13200.0,3,4,36990.0,0,1,0,0,1,4,1.4,10.5184028848265,7.611347717403621,1.791759469228055,9.487972108574462,1.0986122886681098,1.3862943611198906,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,1.3862943611198906,0.3364722366212129
2014,8.7,103211.0,4,5,23880.0,1,0,0,0,1,4,2.4,10.080796567506539,7.607878073278507,2.163323025660538,11.544530715496666,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.8754687373538999
2007,7.4,177751.0,4,5,10990.0,1,0,0,0,1,4,1.8,9.304741047397666,7.604396348796338,2.0014800002101243,12.088138973528705,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.5877866649021191
2016,10.9,119614.0,3,14,44900.0,1,0,0,0,1,4,2.7,10.712193073730345,7.60887062919126,2.388762789235098,11.692025170504236,1.0986122886681098,2.6390573296152584,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.9932517730102834
2012,6.9,125546.0,5,5,15880.0,1,0,0,0,1,4,1.8,9.672815734801127,7.60688453121963,1.9315214116032138,11.74042750426139,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.5877866649021191
2013,6.6,163000.0,4,5,16995.0,1,0,0,0,1,4,2.5,9.740674462130217,7.607381425639791,1.8870696490323797,12.0015054797889,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.9162907318741551
2008,11.0,132864.0,4,7,19880.0,1,0,0,0,1,6,3.5,9.897469480210566,7.60489448081162,2.3978952727983707,11.79708132764545,1.3862943611198906,1.9459101490553132,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.791759469228055,1.252762968495368
2018,7.8,71655.0,4,7,43999.0,1,0,0,0,1,4,2.2,10.691922185369403,7.609862200913554,2.0541237336955462,11.179618214492171,1.3862943611198906,1.9459101490553132,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.7884573603642703
2012,5.6,109459.0,4,5,18888.0,1,0,0,0,1,4,2.0,9.846282078765348,7.60688453121963,1.7227665977411035,11.603305328898823,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2016,7.5,65361.0,2,4,24995.0,1,0,0,0,1,4,1.6,10.12643108384767,7.60887062919126,2.0149030205422647,11.087681029294444,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.47000362924573563
2006,9.6,212953.0,4,5,9998.0,1,0,0,0,1,6,3.0,9.210140351973516,7.603897968521881,2.2617630984737906,12.268826763066167,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.791759469228055,1.0986122886681098
2009,8.2,163012.0,4,5,9990.0,1,0,0,0,1,4,2.0,9.2093398716426,7.605392364814935,2.1041341542702074,12.001579096711009,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2014,6.7,82119.0,2,4,27380.0,1,0,0,0,1,4,2.0,10.21756809884244,7.607878073278507,1.9021075263969205,11.315924693757216,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2018,5.4,42071.0,5,5,24999.0,1,0,0,0,1,3,1.0,10.126591103050316,7.609862200913554,1.6863989535702288,10.647113946209364,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.0
2015,10.0,85958.0,4,5,17999.0,1,0,0,0,1,6,3.2,9.798071479779479,7.608374474380783,2.302585092994046,11.36161408385013,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.791759469228055,1.1631508098056809
2011,8.8,118642.0,4,5,12990.0,1,0,0,0,1,4,2.0,9.471935109664646,7.606387389772652,2.174751721484161,11.68386583439056,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2012,7.9,187265.0,4,5,13990.0,1,0,0,0,1,4,2.0,9.546098067659527,7.60688453121963,2.066862759472976,12.140280004980166,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2016,6.4,118120.0,2,4,28990.0,1,0,0,0,1,4,2.0,10.274706221915702,7.60887062919126,1.8562979903656263,11.679456335857859,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2022,8.1,19978.0,4,5,36800.0,1,0,0,0,1,4,2.0,10.513253124157023,7.611842399580417,2.0918640616783932,9.902386947092095,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2011,8.2,86804.0,4,5,13999.0,1,0,0,0,1,4,2.0,9.546741177474825,7.606387389772652,2.1041341542702074,11.371407982535963,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2023,8.9,15.0,4,7,56887.0,1,0,0,1,0,4,2.0,10.94882212300919,7.612336837167746,2.186051276738094,2.70805020110221,1.3862943611198906,1.9459101490553132,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,0.6931471805599453
2014,9.0,183550.0,4,8,19888.0,1,0,0,0,1,4,2.5,9.897871813750493,7.607878073278507,2.1972245773362196,12.12024238892498,1.3862943611198906,2.0794415416798357,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.9162907318741551
2014,6.3,191748.0,5,5,8995.0,1,0,0,0,1,4,1.3,9.104424146384634,7.607878073278507,1.840549633397487,12.16393728892739,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.26236426446749106
2016,10.4,139637.0,4,7,31900.0,1,0,0,0,1,6,3.5,10.370361288772935,7.60887062919126,2.341805806147327,11.846801477172667,1.3862943611198906,1.9459101490553132,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.791759469228055,1.252762968495368
2013,7.2,165306.0,4,5,14995.0,1,0,0,0,1,4,2.0,9.61547209118311,7.607381425639791,1.9740810260220096,12.015553580791025,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2016,7.1,104887.0,4,5,22990.0,1,0,0,0,1,4,2.0,10.042814617757227,7.60887062919126,1.9600947840472698,11.560638859154688,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2017,5.5,72501.0,5,5,31990.0,1,0,0,0,1,4,2.0,10.373178632943564,7.6093665379542115,1.7047480922384253,11.19135563385109,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
