Unnamed: 0,Year,FuelConsumption,Kilometres,Doors,Seats,Price,Automatic,Manual,DEMO,NEW,USED,Engine_cyl_num,Engine_total_vol
9005,2019,8.2,79145.0,4,5,11.127115914520505,1,0,0,0,1,4,2.0
9006,2011,10.1,178173.0,4,5,9.471935109664646,1,0,0,0,1,6,3.6
9008,2007,10.9,350000.0,4,7,10.165351691961936,1,0,0,0,1,4,3.0
9009,2015,6.8,170381.0,5,5,9.388486557359657,0,1,0,0,1,4,1.8
9010,2005,9.7,253000.0,4,5,9.104868739033948,1,0,0,0,1,4,2.4
9011,2021,6.8,18033.0,4,5,11.198077724445678,1,0,0,0,1,4,2.5
9013,2015,4.7,202425.0,2,2,9.304741047397666,1,0,0,0,1,4,1.6
9014,2015,7.8,75219.0,4,7,10.271112327661113,1,0,0,0,1,4,2.4
9015,2015,7.7,142080.0,4,5,10.308885991755306,1,0,0,0,1,4,2.0
9016,2007,11.0,162285.0,4,5,9.258177701390343,1,0,0,0,1,6,3.6
9017,2020,4.8,28620.0,5,5,10.839384814049202,1,0,0,0,1,4,2.5
9018,2021,7.9,32285.0,4,5,10.54507824618167,1,0,0,0,1,4,2.4
9019,2020,7.3,58422.0,4,5,10.570034051298894,1,0,0,0,1,4,2.5
9020,2016,10.9,42651.0,2,2,10.757690092096862,1,0,0,0,1,6,3.7
9021,2017,9.0,99884.0,4,5,10.757690092096862,1,0,0,0,1,5,3.2
9022,2021,4.2,45943.0,4,5,10.645186773678239,1,0,0,0,1,4,2.5
9023,2017,7.6,195312.0,4,5,10.403959764222627,1,0,0,0,1,4,2.4
9025,2022,7.9,7632.0,4,5,10.73617926053397,1,0,0,0,1,4,2.4
9026,2020,7.4,54641.0,4,5,10.432644132986843,1,0,0,0,1,4,2.5
9028,2021,6.7,20827.0,5,5,9.902987427494446,1,0,0,0,1,4,1.5
9029,2019,7.5,65672.0,4,5,10.292145542327912,1,0,0,0,1,4,2.5
9030,2022,7.3,2478.0,4,5,10.274706221915702,1,0,0,0,1,4,1.5
9031,2021,9.1,82977.0,4,7,10.462817585361734,1,0,0,0,1,4,2.0
9032,2021,8.4,20097.0,4,5,11.206658423575341,1,0,0,0,1,4,2.8
9033,2016,9.5,113654.0,4,5,9.79784922051313,1,0,0,0,1,6,3.6
9034,2023,10.3,28.0,4,5,11.440247239472242,1,0,0,1,0,6,3.6
9035,2018,7.4,62133.0,4,5,10.402746539930654,1,0,0,0,1,4,2.5
9036,2023,7.9,92.0,4,7,11.482363159387589,1,0,0,0,1,4,2.8
9037,2013,8.1,103203.0,4,5,9.940156936893139,1,0,0,0,1,4,2.5
9038,2020,6.2,44523.0,5,5,9.997433165378656,1,0,0,0,1,4,1.4
9039,2015,9.0,196936.0,2,2,10.308619271743055,1,0,0,0,1,4,2.8
9040,2017,10.4,77946.0,4,5,10.461673747661957,1,0,0,0,1,4,2.7
9041,2017,7.4,63225.0,4,5,9.951801412814678,1,0,0,0,1,4,2.0
9042,2014,7.4,90200.0,5,5,9.54438108340598,0,1,0,0,1,4,1.6
9043,2012,6.6,248791.0,4,5,9.532351404751555,1,0,0,0,1,4,2.0
9044,2021,6.0,15958.0,5,5,10.430816248401133,1,0,0,0,1,4,2.0
9045,2023,7.3,10.0,5,5,10.403959764222627,1,0,0,1,0,3,1.3
9046,2010,9.4,172614.0,4,5,9.305559638557117,1,0,0,0,1,4,2.5
9048,2021,7.4,29444.0,5,5,10.165467127635536,1,0,0,0,1,4,2.0
9049,2013,10.9,161830.0,4,7,10.596384701840863,0,1,0,0,1,4,3.0
9050,2015,9.0,63551.0,4,7,10.691717614342766,1,0,0,0,1,4,3.2
9051,2018,7.7,177839.0,4,5,10.433527395225923,1,0,0,0,1,4,3.0
9053,2006,16.0,211770.0,4,5,9.104868739033948,1,0,0,0,1,6,3.0
9054,2017,7.9,39186.0,4,5,10.193504397284627,1,0,0,0,1,4,2.0
9055,2021,7.7,41777.0,4,5,10.571060481976643,1,0,0,0,1,4,1.4
9056,2019,7.6,59229.0,4,5,10.776745514592863,1,0,0,0,1,4,2.4
9057,2013,5.1,199730.0,2,4,9.844268192876157,1,0,0,0,1,4,2.1
9058,2019,6.5,44149.0,4,5,10.734220396048636,1,0,0,0,1,4,2.0
9059,2021,7.6,27855.0,3,4,10.854701314199513,0,1,0,0,1,3,1.6
9060,2012,8.5,261000.0,4,7,10.292145542327912,1,0,0,0,1,4,3.0
9062,2019,9.5,57355.0,4,7,10.689396213177384,1,0,0,0,1,6,3.5
9063,2009,7.4,112255.0,5,5,9.546098067659527,0,1,0,0,1,4,1.8
9064,2021,6.5,59158.0,4,8,10.79728724657475,1,0,0,0,1,4,2.2
9065,2018,5.3,75278.0,4,5,10.401136747185486,1,0,0,0,1,4,1.4
9066,2014,7.5,128963.0,4,5,10.274361215874674,1,0,0,0,1,6,3.0
9067,2020,6.7,20173.0,5,5,9.932560800021836,1,0,0,0,1,4,1.5
9068,2012,8.2,238740.0,4,7,9.58107599956325,1,0,0,0,1,6,2.7
9069,2019,4.9,48400.0,5,5,10.037362636092155,1,0,0,0,1,3,1.0
9071,2022,8.2,22508.0,4,5,10.774194972788317,1,0,0,0,1,4,2.5
9072,2021,6.0,67864.0,4,5,10.373178632943564,1,0,0,0,1,4,2.0
9073,2016,6.2,98000.0,5,5,10.403959764222627,1,0,0,0,1,4,2.0
9074,2015,7.9,155373.0,4,5,9.791773562906126,1,0,0,0,1,4,2.5
9075,2021,7.9,14891.0,4,5,10.542706391070517,1,0,0,0,1,4,2.5
9077,2020,8.3,30508.0,4,5,10.571060481976643,1,0,0,0,1,4,2.5
9078,2016,7.4,172724.0,4,5,9.71655538318449,1,0,0,0,1,4,2.0
9079,2014,6.6,121000.0,5,5,9.61573881119536,1,0,0,0,1,4,2.0
9080,2008,8.7,166046.0,4,5,9.602314889901848,1,0,0,0,1,4,2.5
9081,2008,7.8,156692.0,5,5,8.973097896282471,1,0,0,0,1,4,1.8
9082,2014,5.4,154200.0,4,5,9.711055051991444,1,0,0,0,1,4,2.2
9083,2018,4.2,20345.0,5,5,10.431465235119685,1,0,0,0,1,4,1.8
9084,2020,4.2,23225.0,5,5,10.618396224877586,1,0,0,0,1,4,1.8
9085,2022,7.6,9865.0,4,5,11.274376355068657,1,0,0,0,1,4,2.0
9086,2018,5.7,18507.0,5,5,10.819578264407616,1,0,0,0,1,4,1.3
9087,2018,7.6,130730.0,4,5,10.518619136111335,1,0,0,0,1,4,2.4
9088,2021,4.2,29691.0,4,5,10.690807903113322,1,0,0,0,1,4,2.5
9089,2019,7.8,32110.0,4,5,10.96301245249619,1,0,0,0,1,4,2.0
9090,2008,4.6,150557.0,4,5,9.39182824802156,1,0,0,0,1,4,1.3
9091,2018,8.8,87000.0,4,3,10.517320926376348,1,0,0,0,1,4,2.5
9092,2020,7.5,35625.0,4,5,11.034696096907226,1,0,0,0,1,4,2.0
9093,2019,6.5,97790.0,5,5,10.5184028848265,1,0,0,0,1,4,2.0
9095,2020,7.9,36390.0,4,5,10.403959764222627,1,0,0,0,1,4,2.0
9096,2020,5.8,4256.0,5,5,10.368635662805467,1,0,0,0,1,3,1.0
9097,2016,9.1,136255.0,4,5,10.5184028848265,1,0,0,0,1,4,2.8
9098,2022,4.0,1492.0,4,5,10.819578264407616,1,0,0,0,1,3,1.5
9099,2021,4.2,36922.0,5,5,10.373178632943564,1,0,0,0,1,4,1.8
9100,2015,11.5,115891.0,2,3,11.289531882400809,0,1,0,0,1,8,4.5
9101,2016,6.9,95402.0,4,5,9.740380214665977,1,0,0,0,1,4,1.4
9102,2022,8.6,13060.0,4,5,10.799555168721248,1,0,0,0,1,4,2.0
9103,2018,7.7,44025.0,2,2,10.596134608054392,1,0,0,0,1,4,3.0
9105,2019,5.8,28277.0,5,5,9.892173792635855,1,0,0,0,1,4,1.2
9106,2006,7.5,180000.0,5,5,8.852235835227855,1,0,0,0,1,4,1.6
9107,2019,8.9,60125.0,4,5,10.83358256538668,1,0,0,0,1,5,3.2
9108,2019,7.4,53706.0,4,5,10.20322170601205,1,0,0,0,1,4,2.0
9109,2012,7.3,139455.0,4,7,9.99857043378282,1,0,0,0,1,4,2.2
9110,2008,6.7,96500.0,5,5,9.21024036697585,1,0,0,0,1,4,1.4
9111,2019,7.6,16922.0,4,5,10.294177375062137,1,0,0,0,1,4,2.0
9112,2015,6.0,112600.0,4,5,10.308619271743055,1,0,0,0,1,4,2.0
9113,2016,7.6,124997.0,2,4,10.5184028848265,1,0,0,0,1,6,3.0
9114,2021,8.6,33493.0,4,5,10.89488575689709,1,0,0,0,1,4,2.4
9115,2015,9.4,122231.0,4,5,11.034728360695965,1,0,0,0,1,6,3.0
9117,2013,9.1,177196.0,4,5,9.543091407795542,1,0,0,0,1,4,2.5
9118,2018,8.1,128103.0,4,5,10.59383080576334,1,0,0,0,1,4,2.8
9119,2007,12.8,193852.0,4,5,8.85352256068954,1,0,0,0,1,6,4.0
9120,2019,0.0,71971.0,2,2,9.738023112808596,0,1,0,0,1,4,2.0
9121,2005,7.5,116981.0,3,5,8.92252495730139,1,0,0,0,1,4,1.4
9122,2021,8.0,14671.0,4,7,10.877103351029552,1,0,0,0,1,4,2.4
9123,2021,4.2,17276.0,5,5,10.490996401073076,1,0,0,0,1,4,1.8
9124,2013,6.6,150236.0,5,5,9.615138591096644,1,0,0,0,1,4,2.0
9125,2014,5.3,92859.0,5,5,9.21024036697585,0,1,0,0,1,4,1.4
9126,2014,8.8,106000.0,4,5,9.903437551286085,1,0,0,0,1,4,2.0
9127,2014,6.2,70741.0,5,5,9.740380214665977,1,0,0,0,1,4,1.4
9130,2018,5.7,56888.0,4,5,11.081988690888394,1,0,0,0,1,4,2.5
9131,2016,5.9,84412.0,4,7,10.896554123212333,1,0,0,0,1,6,3.0
9132,2018,7.2,94417.0,4,7,10.424659468356262,1,0,0,0,1,4,2.2
9133,2018,4.5,66026.0,4,5,10.564886034781493,1,0,0,0,1,4,2.5
